timestep,env_idx,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5
59,0,0.053106680512428284,-0.04894433170557022,1.7149895429611206,-0.0016738995909690857,1.6737364530563354,0.0008462010882794857
60,0,0.05335673689842224,-0.048064593225717545,1.7154638767242432,-0.002118854783475399,1.6744996309280396,0.0008442116086371243
61,0,0.05361612141132355,-0.048374101519584656,1.7159308195114136,-0.0017944819992408156,1.6752680540084839,0.0008430749294348061
62,0,0.05388512462377548,-0.0471109114587307,1.7163909673690796,-0.002080931793898344,1.676042079925537,0.0008384276879951358
63,0,0.054163187742233276,-0.04710260033607483,1.7168383598327637,-0.0016721754800528288,1.6768189668655396,0.0008450161549262702
64,0,0.05444978177547455,-0.04733067750930786,1.7172839641571045,-0.0016458239406347275,1.677603006362915,0.0008195386617444456
65,0,0.05474655702710152,-0.04636591672897339,1.7177183628082275,-0.0019423399353399873,1.6783885955810547,0.0008445510175079107
66,0,0.05505058541893959,-0.04678856208920479,1.7181525230407715,-0.001575887086801231,1.6791800260543823,0.0008162227459251881
67,0,0.0553547739982605,-0.06302636861801147,1.7185391187667847,0.006801823619753122,1.6799554824829102,0.0006212139269337058
68,0,0.05567067116498947,-0.06519996374845505,1.718906283378601,0.001821683719754219,1.6807405948638916,0.000443589553469792
69,0,0.05599410831928253,-0.049855075776576996,1.7192254066467285,-0.010210655629634857,1.6814781427383423,0.0009948359802365303
70,0,0.0562870129942894,-0.029348425567150116,1.7195119857788086,-0.003645185614004731,1.6821908950805664,0.0011960349511355162
71,0,0.05655329301953316,-0.01742035523056984,1.7197930812835693,-0.0003948582452721894,1.6828721761703491,0.001038911985233426
72,0,0.05681310221552849,-0.03694554418325424,1.7200324535369873,0.006801016628742218,1.683558464050293,0.00068124127574265
73,0,0.05708148330450058,-0.050031282007694244,1.7202157974243164,0.0036125273909419775,1.6842409372329712,0.0005379890208132565
74,0,0.05735365301370621,-0.04402736946940422,1.7203301191329956,0.0013718302361667156,1.6849122047424316,0.0007596739451400936
75,0,0.05761411413550377,-0.031860508024692535,1.7203483581542969,0.0011235479032620788,1.6855710744857788,0.0010041898349300027
76,0,0.05785839259624481,-0.02651369385421276,1.7203444242477417,0.005557872820645571,1.6862049102783203,0.0010076923063024879
77,0,0.05809589847922325,-0.030171142891049385,1.7203494310379028,0.00817894283682108,1.6868191957473755,0.0008493703790009022
78,0,0.05833638459444046,-0.03598841279745102,1.7203725576400757,0.0070070065557956696,1.6874183416366577,0.0007576346979476511
79,0,0.058578215539455414,-0.038227859884500504,1.7204087972640991,0.00548213254660368,1.6880043745040894,0.0007925328682176769
80,0,0.05881461873650551,-0.037103816866874695,1.7204550504684448,0.005735425744205713,1.6885755062103271,0.0008515988592989743
81,0,0.05904302000999451,-0.0355575792491436,1.720511555671692,0.007065456826239824,1.6891305446624756,0.0008672034600749612
82,0,0.05926536023616791,-0.034933093935251236,1.7205780744552612,0.008012334816157818,1.6896698474884033,0.0008606299525126815
83,0,0.05948319658637047,-0.03572099283337593,1.7206565141677856,0.008578077889978886,1.690194845199585,0.0008337537292391062
84,0,0.05969751626253128,-0.03673868253827095,1.7207458019256592,0.008746898733079433,1.6907070875167847,0.0008247107616625726
85,0,0.05990774184465408,-0.03715623542666435,1.7208436727523804,0.008921663276851177,1.6912059783935547,0.0008321494678966701
86,0,0.06011287122964859,-0.03709021210670471,1.720947027206421,0.009414677508175373,1.6916916370391846,0.0008435647469013929
87,0,0.06031239032745361,-0.03741147369146347,1.7210571765899658,0.010199367068707943,1.6921638250350952,0.0008243320626206696
88,0,0.06050918251276016,-0.03749185428023338,1.7211880683898926,0.010875964537262917,1.692625641822815,0.0008286147494800389
89,0,0.06070650368928909,-0.03787732496857643,1.7212947607040405,0.010859627276659012,1.6931233406066895,0.0007948907441459596
90,0,0.06090785562992096,-0.03762856125831604,1.7213988304138184,0.00997850764542818,1.6936358213424683,0.0008172272937372327
91,0,0.061109431087970734,-0.037001218646764755,1.721498966217041,0.010190987959504128,1.694149374961853,0.0008272049017250538
92,0,0.06131009757518768,-0.036657534539699554,1.721596360206604,0.01053788885474205,1.6946580410003662,0.0008288086391985416
93,0,0.061509739607572556,-0.036446742713451385,1.7216901779174805,0.010782108642160892,1.6951590776443481,0.0008295802981592715
94,0,0.0617077499628067,-0.036651719361543655,1.7217804193496704,0.011225123889744282,1.6956515312194824,0.0008171360241249204
95,0,0.06190413981676102,-0.03690822049975395,1.7218681573867798,0.01143481582403183,1.6961349248886108,0.0008141727303154767
96,0,0.06209845468401909,-0.03694957494735718,1.7219517230987549,0.011586632579565048,1.6966087818145752,0.0008154514944180846
97,0,0.062289949506521225,-0.03688296303153038,1.7220330238342285,0.01178030576556921,1.6970720291137695,0.0008211142849177122
98,0,0.062478359788656235,-0.036364540457725525,1.7221101522445679,0.012010435573756695,1.6975244283676147,0.0008309786207973957
99,0,0.06266314536333084,-0.036133572459220886,1.7221845388412476,0.012506304308772087,1.6979656219482422,0.0008311969577334821
100,0,0.06284462660551071,-0.03623408079147339,1.7222577333450317,0.01295085996389389,1.698397159576416,0.0008135631214827299
101,0,0.06302253156900406,-0.03717701509594917,1.7223293781280518,0.014597661793231964,1.6988298892974854,0.0007702624425292015
102,0,0.06320392340421677,-0.0378093458712101,1.7224100828170776,0.013157007284462452,1.6992647647857666,0.0007779066218063235
103,0,0.06338635087013245,-0.03775791451334953,1.7225085496902466,0.013061588630080223,1.6996986865997314,0.0008009407320059836
104,0,0.06357118487358093,-0.037302009761333466,1.7225903272628784,0.013180047273635864,1.700167179107666,0.0007974337786436081
105,0,0.0637609213590622,-0.03701464831829071,1.722670078277588,0.012736352160573006,1.7006514072418213,0.0007998532382771373
106,0,0.0639537125825882,-0.036633722484111786,1.7227486371994019,0.012653945945203304,1.7011398077011108,0.0007976026390679181
107,0,0.06414876133203506,-0.03641727566719055,1.7228261232376099,0.012711555697023869,1.7016273736953735,0.0008019710658118129
